MarketSymbol,Amount,Price,StopPrice,IsBuy,IsMargin,OrderId,ClientOrderId,ShouldRoundAmount,OrderType,IsPostOnly
BTC-EUR,0.0002553183449549988651099567,21521.12,0,False,False,,,True,Limit,,159
BTC-EUR,0.0002553183449549988651099567,21541.73,0,False,False,,,True,Limit,,160
BTC-EUR,0.0002553183449549988651099567,21562.35,0,False,False,,,True,Limit,,161
BTC-EUR,0.0002553183449549988651099567,21582.96,0,False,False,,,True,Limit,,162
BTC-EUR,0.0002553183449549988651099567,21603.58,0,False,False,,,True,Limit,,163
BTC-EUR,0.0002553183449549988651099567,21624.19,0,False,False,,,True,Limit,,164
BTC-EUR,0.0002553183449549988651099567,21644.80,0,False,False,,,True,Limit,,165
BTC-EUR,0.0002553183449549988651099567,21665.42,0,False,False,,,True,Limit,,166
BTC-EUR,0.0002553183449549988651099567,21686.03,0,False,False,,,True,Limit,,167
BTC-EUR,0.0002553183449549988651099567,21706.65,0,False,False,,,True,Limit,,168
BTC-EUR,0.0002553183449549988651099567,21727.26,0,False,False,,,True,Limit,,169
BTC-EUR,0.0002553183449549988651099567,21747.88,0,False,False,,,True,Limit,,170
BTC-EUR,0.0002553183449549988651099567,21768.49,0,False,False,,,True,Limit,,171
BTC-EUR,0.0000814612718450619643310417,20459.62,0,True,False,,,True,Limit,,34
BTC-EUR,0.0000815433747149651336838394,20439.02,0,True,False,,,True,Limit,,35
BTC-EUR,0.0000816256432508816385727528,20418.42,0,True,False,,,True,Limit,,36
BTC-EUR,0.0000817081180120153421699029,20397.81,0,True,False,,,True,Limit,,37
BTC-EUR,0.0000817907194687921784516461,20377.21,0,True,False,,,True,Limit,,38
BTC-EUR,0.0000818735283233283881722226,20356.60,0,True,False,,,True,Limit,,39
BTC-EUR,0.0000819564647259375819564647,20336.00,0,True,False,,,True,Limit,,40
BTC-EUR,0.0000820395693250768710764576,20315.40,0,True,False,,,True,Limit,,41
BTC-EUR,0.00008212288309791166435655,20294.79,0,True,False,,,True,Limit,,42
BTC-EUR,0.0000822063257109984007581396,20274.19,0,True,False,,,True,Limit,,43
BTC-EUR,0.0000822899786934787166844907,20253.58,0,True,False,,,True,Limit,,44
BTC-EUR,0.0000823737613869369053232231,20232.98,0,True,False,,,True,Limit,,45
BTC-EUR,0.000082457714859243031580975,20212.38,0,True,False,,,True,Limit,,46
BTC-EUR,0.0000825418805120436032436318,20191.77,0,True,False,,,True,Limit,,47
BTC-EUR,0.0000826261771958030529050455,20171.17,0,True,False,,,True,Limit,,48
BTC-EUR,0.0000827106462331669360552414,20150.57,0,True,False,,,True,Limit,,49
BTC-EUR,0.0000827953292836481874115332,20129.96,0,True,False,,,True,Limit,,50
BTC-EUR,0.0000809121976432542368054052,20742.65,0,False,False,,,True,Limit,,51
BTC-EUR,0.0000809121976432542368054052,20763.25,0,False,False,,,True,Limit,,52
