OrderId,ClientOrderId,Result,ResultCode,Message,Amount,AmountFilled,IsAmountFilledReversed,Price,AveragePrice,OrderDate,HTTPHeaderDate,CompletedDate,MarketSymbol,IsBuy,Fees,FeesCurrency,TradeId,TradeDate,UpdateSequence
22fb1528-0c2c-404a-bd69-6a6f52a60e73,,PendingOpen,,,0.0002035,0,False,19652.84,,10/27/2022 00:14:11,10/27/2022 00:14:11,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
9075eb12-4bbc-4518-bd03-20365c6b6d5c,,PendingOpen,,,0.0002037,0,False,19632.22,,10/27/2022 00:14:11,10/27/2022 00:14:11,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
d68a8fa4-85e4-48e2-8ead-62776400e9e1,,PendingOpen,,,0.000204,0,False,19611.6,,10/27/2022 00:14:11,10/27/2022 00:14:11,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
2799f851-9b68-43c0-b9fe-cacefb1ec877,,PendingOpen,,,0.0002042,0,False,19590.98,,10/27/2022 00:14:11,10/27/2022 00:14:11,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
ba33deb2-e920-4f2c-8c4f-5696f98fdbde,,PendingOpen,,,0.0002044,0,False,19570.35,,10/27/2022 00:14:11,10/27/2022 00:14:12,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
53ab9d53-7ddb-4213-a747-223b9a751932,,PendingOpen,,,0.0002046,0,False,19549.73,,10/27/2022 00:14:12,10/27/2022 00:14:12,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
96eb995c-9900-4239-8aaf-182fa6b21662,,PendingOpen,,,0.0002048,0,False,19529.11,,10/27/2022 00:14:12,10/27/2022 00:14:12,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
c662e91b-a9aa-499b-b01a-009f54ed7835,,PendingOpen,,,0.000205,0,False,19508.49,,10/27/2022 00:14:12,10/27/2022 00:14:12,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
27e50424-26b3-43a1-8a4f-c02a20639471,,PendingOpen,,,0.0002053,0,False,19487.87,,10/27/2022 00:14:12,10/27/2022 00:14:12,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
d327e754-478f-48c2-a57a-bcc451599558,,PendingOpen,,,0.0002055,0,False,19467.24,,10/27/2022 00:14:12,10/27/2022 00:14:12,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
347e5a0b-ea4c-4664-a451-b1ea97b51c5b,,PendingOpen,,,0.0002057,0,False,19446.62,,10/27/2022 00:14:13,10/27/2022 00:14:13,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
f0f6baf0-3818-4c7c-9bf6-faf9089ec6ea,,PendingOpen,,,0.0002059,0,False,19426,,10/27/2022 00:14:13,10/27/2022 00:14:13,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
791a052f-a5b3-4e8c-9dda-ff0509080889,,PendingOpen,,,0.0002061,0,False,19405.38,,10/27/2022 00:14:13,10/27/2022 00:14:13,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
2a223240-b030-472e-950b-153954e816fd,,PendingOpen,,,0.0002063,0,False,19384.76,,10/27/2022 00:14:13,10/27/2022 00:14:13,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
61e03150-e882-4425-963c-1d1339211f90,,PendingOpen,,,0.0002066,0,False,19364.13,,10/27/2022 00:14:13,10/27/2022 00:14:13,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
d582eccb-453d-46e8-95f1-80af4b3e6827,,PendingOpen,,,0.0002068,0,False,19343.51,,10/27/2022 00:14:13,10/27/2022 00:14:14,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
c587ac97-6424-4fde-a803-794bda7def99,,PendingOpen,,,0.000207,0,False,19322.89,,10/27/2022 00:14:14,10/27/2022 00:14:14,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
a1635fc3-fc2d-4d4e-b1e8-1bab18c3130f,,PendingOpen,,,0.0002072,0,False,19302.27,,10/27/2022 00:14:14,10/27/2022 00:14:14,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
38660d6b-0b9c-43d9-be99-3987b06edfc1,,PendingOpen,,,0.0002075,0,False,19281.64,,10/27/2022 00:14:14,10/27/2022 00:14:14,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
937bf6b9-3519-43ed-bb43-b3a0711dd1a4,,PendingOpen,,,0.0002077,0,False,19261.02,,10/27/2022 00:14:14,10/27/2022 00:14:14,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
97091cc8-290a-4869-b884-b0b74c3e80af,,PendingOpen,,,0.0002079,0,False,19240.4,,10/27/2022 00:14:15,10/27/2022 00:14:15,01/01/0001 00:00:00,BTC-EUR,True,0,BTC,,,
